Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
65	16.5	2.1794496	19.0	13.0	79.5	24.72347	118.0	49.0	15.4	1.9595919	19.0	12.0	78.1	57.313957	196.0	0.0	1000.0	1000.0	259999	12.631515	4.9437037	32.310753	-13.451118	12.631509	4.9433413	31.759274	-13.6424675	-12.678936	0.49593237	3763.6544137001038
66	14.5	1.5	17.0	13.0	91.0	43.3532	138.0	21.0	14.8	1.4696939	17.0	12.0	58.8	35.495914	113.0	0.0	1000.0	1000.0	263999	12.626907	4.9232574	32.084393	-13.445459	12.627031	4.923025	34.787075	-14.0474615	-12.674072	0.49940228	3821.8721120357513
67	16.5	2.0615528	19.0	14.0	81.75	27.206387	118.0	54.0	16.5	1.7464249	18.0	13.0	44.1	27.529802	84.0	0.0	1000.0	1000.0	267999	12.662494	4.892612	32.32392	-13.485413	12.662428	4.8919606	31.025194	-13.850092	-12.704242	0.5007085	3880.07173871994
68	15.0	1.2247449	16.0	13.0	60.5	35.42245	90.0	0.0	14.4	1.68523	17.0	12.0	71.8	60.50256	174.0	0.0	1000.0	1000.0	271999	12.670064	4.8934026	30.688574	-13.128566	12.670073	4.8929224	35.38569	-13.713443	-12.731002	0.50005317	3938.223247051239
69	16.5	2.0615528	19.0	14.0	56.0	20.457273	86.0	33.0	14.3	2.9342802	17.0	6.0	69.2	35.75136	124.0	10.0	1000.0	1000.0	275999	12.655804	4.899741	32.564835	-13.3334875	12.655652	4.8995924	38.978905	-13.686948	-12.697303	0.49982488	3995.9970157146454
70	15.5	3.2787192	21.0	13.0	75.0	62.245483	173.0	0.0	14.0	1.67332	17.0	12.0	53.6	28.366177	85.0	0.0	1000.0	1000.0	279999	12.648038	4.8931804	32.098248	-12.812715	12.6482	4.892756	33.133232	-12.747181	-12.693814	0.51165545	4054.0569138526917
71	15.0	1.2247449	16.0	13.0	54.75	55.979347	126.0	0.0	14.6	2.1071308	18.0	10.0	70.8	25.162672	101.0	26.0	1000.0	1000.0	283999	12.663693	4.9009457	30.150618	-12.599115	12.663897	4.90037	29.963358	-12.620608	-12.709936	0.49415553	4111.751202344894
72	15.5	1.5	18.0	14.0	33.0	23.94786	69.0	2.0	15.1	1.9723083	17.0	11.0	66.4	47.240234	152.0	0.0	1000.0	1000.0	287999	12.6778	4.8851976	32.37018	-12.588482	12.677846	4.8847466	31.49036	-12.67482	-12.733939	0.48873925	4169.690920114517
73	16.0	1.2247449	17.0	14.0	35.25	12.577261	57.0	27.0	14.8	1.1661904	17.0	13.0	65.9	33.94245	121.0	0.0	1000.0	1000.0	291999	12.700305	4.874083	32.99143	-12.9710655	12.700421	4.8735466	33.075542	-12.680578	-12.745795	0.49044013	4228.906047821045
74	14.5	1.6583124	17.0	13.0	55.75	30.873735	97.0	24.0	15.1	2.1656408	19.0	11.0	62.0	59.277313	173.0	9.0	1000.0	1000.0	295999	12.712955	4.8780146	33.27551	-12.67784	12.713111	4.8775682	33.802452	-12.837745	-12.755893	0.49891636	4287.61642408371
